epsilon,ASR_Argmax_Random,ASR_VDS_Random,Acc_Argmax_Random,VDS_Coverage_Random,VDS_SelAcc_Random,ASR_Argmax_PGD,ASR_VDS_PGD,Acc_Argmax_PGD,VDS_Coverage_PGD,VDS_SelAcc_PGD,seed
0.5,0.06293706293706294,0.07692307692307693,0.9300699300699301,0.8881118881118881,0.9921259842519685,0.7272727272727273,0.8251748251748252,0.23776223776223776,0.6643356643356644,0.24210526315789474,47
0.6,0.02097902097902098,0.08391608391608392,0.958041958041958,0.9090909090909091,0.9769230769230769,0.8041958041958042,0.8601398601398601,0.16083916083916083,0.8811188811188811,0.14285714285714285,47
0.7,0.04895104895104895,0.11888111888111888,0.9440559440559441,0.8601398601398601,0.975609756097561,0.8391608391608392,0.9020979020979021,0.1258741258741259,0.9230769230769231,0.09090909090909091,47
0.8,0.04895104895104895,0.13286713286713286,0.9300699300699301,0.9230769230769231,0.9545454545454546,0.8811188811188811,0.9300699300699301,0.08391608391608392,0.9300699300699301,0.06015037593984962,47
0.9,0.09090909090909091,0.13986013986013987,0.9300699300699301,0.9230769230769231,0.946969696969697,0.9090909090909091,0.9440559440559441,0.055944055944055944,0.958041958041958,0.043795620437956206,47
1.0,0.07692307692307693,0.16083916083916083,0.916083916083916,0.8951048951048951,0.9453125,0.9230769230769231,0.958041958041958,0.04195804195804196,0.972027972027972,0.02877697841726619,47
0.0,0.0,0.0,0.986013986013986,0.8951048951048951,0.9921875,0.0,0.0,0.986013986013986,0.8951048951048951,0.9921875,89
0.1,0.0,0.04195804195804196,0.986013986013986,0.8951048951048951,0.9921875,0.0979020979020979,0.16783216783216784,0.8881118881118881,0.7412587412587412,0.9811320754716981,89
0.2,0.04195804195804196,0.06293706293706294,0.9440559440559441,0.8741258741258742,1.0,0.25874125874125875,0.46153846153846156,0.7272727272727273,0.6433566433566433,0.8260869565217391,89
0.3,0.013986013986013986,0.08391608391608392,0.972027972027972,0.9230769230769231,0.9848484848484849,0.45454545454545453,0.5874125874125874,0.5314685314685315,0.6783216783216783,0.5979381443298969,89
0.4,0.03496503496503497,0.09090909090909091,0.965034965034965,0.8881118881118881,0.984251968503937,0.5734265734265734,0.6713286713286714,0.4125874125874126,0.7902097902097902,0.40707964601769914,89
0.5,0.055944055944055944,0.14685314685314685,0.9300699300699301,0.8461538461538461,0.9917355371900827,0.6713286713286714,0.7902097902097902,0.3146853146853147,0.7902097902097902,0.25663716814159293,89
0.6,0.07692307692307693,0.13286713286713286,0.9090909090909091,0.8251748251748252,0.9915254237288136,0.7902097902097902,0.8531468531468531,0.1958041958041958,0.8111888111888111,0.1724137931034483,89
0.7,0.1048951048951049,0.13286713286713286,0.9090909090909091,0.8811188811188811,0.9523809523809523,0.8391608391608392,0.9020979020979021,0.14685314685314685,0.8881118881118881,0.10236220472440945,89
0.8,0.11188811188811189,0.1958041958041958,0.8741258741258742,0.8811188811188811,0.8968253968253969,0.8951048951048951,0.9440559440559441,0.09090909090909091,0.9090909090909091,0.05384615384615385,89
0.9,0.11888111888111888,0.18181818181818182,0.8811188811188811,0.8531468531468531,0.9344262295081968,0.9370629370629371,0.951048951048951,0.04895104895104895,0.951048951048951,0.04411764705882353,89
1.0,0.11188811188811189,0.20279720279720279,0.8741258741258742,0.8461538461538461,0.9256198347107438,0.9440559440559441,0.958041958041958,0.04195804195804196,0.986013986013986,0.03546099290780142,89
0.0,0.0,0.0,0.965034965034965,0.916083916083916,0.9770992366412213,0.0,0.0,0.965034965034965,0.916083916083916,0.9770992366412213,173
0.1,0.006993006993006993,0.013986013986013986,0.958041958041958,0.916083916083916,0.9770992366412213,0.06993006993006994,0.14685314685314685,0.8951048951048951,0.7972027972027972,0.956140350877193,173
0.2,0.02097902097902098,0.02097902097902098,0.958041958041958,0.9090909090909091,0.9769230769230769,0.20279720279720279,0.36363636363636365,0.7622377622377622,0.7202797202797203,0.8543689320388349,173
0.3,0.013986013986013986,0.03496503496503497,0.965034965034965,0.8951048951048951,0.9765625,0.36363636363636365,0.5594405594405595,0.6013986013986014,0.6573426573426573,0.6382978723404256,173
0.4,0.03496503496503497,0.04195804195804196,0.9440559440559441,0.9020979020979021,0.9767441860465116,0.5384615384615384,0.6783216783216783,0.42657342657342656,0.6853146853146853,0.4387755102040816,173
0.5,0.04895104895104895,0.07692307692307693,0.958041958041958,0.8671328671328671,0.9919354838709677,0.6643356643356644,0.7902097902097902,0.3006993006993007,0.7692307692307693,0.24545454545454545,173
0.6,0.055944055944055944,0.07692307692307693,0.9230769230769231,0.916083916083916,0.9465648854961832,0.7762237762237763,0.8461538461538461,0.1888111888111888,0.8321678321678322,0.15966386554621848,173
0.7,0.055944055944055944,0.0979020979020979,0.9230769230769231,0.8951048951048951,0.953125,0.8391608391608392,0.9020979020979021,0.1258741258741259,0.8881118881118881,0.08661417322834646,173
0.8,0.04895104895104895,0.1258741258741259,0.916083916083916,0.8881118881118881,0.9291338582677166,0.8881118881118881,0.916083916083916,0.07692307692307693,0.9300699300699301,0.06766917293233082,173
0.9,0.055944055944055944,0.11888111888111888,0.9370629370629371,0.8741258741258742,0.96,0.9020979020979021,0.9370629370629371,0.06293706293706294,0.965034965034965,0.043478260869565216,173
1.0,0.04895104895104895,0.18181818181818182,0.9300699300699301,0.8951048951048951,0.953125,0.9230769230769231,0.951048951048951,0.04195804195804196,0.965034965034965,0.028985507246376812,173
