epsilon,attack,seed,Cost_Baseline,Cost_VDS,CostAmplification_Baseline,CostAmplification_VDS,PSI_Baseline,PSI_VDS,Mean_J_Baseline,Mean_J_VDS,SOC_Std_Baseline,SOC_Std_VDS,DecVar_Baseline,DecVar_VDS
1.0,worst,47,4147.997087517968,4148.737983812876,3.930986465811872,3.9195300760734972,0.044642857142857144,0.04985119047619048,3.2703183036379166,1.1246101823528927,2.688578844015197,2.6670127804986636,0.348970743432887,0.3513777491981601
0.0,random,89,1051.8670240363035,1055.4211364529895,1.0,1.0,1.0,1.0,0.7154221197688693,0.7194306359519194,1.3296759280086394,1.0818885223264172,0.38249071416491087,0.37887769938325194
0.0,worst,89,1051.8670240363035,1055.4211364529895,1.0,1.0,1.0,1.0,0.7154221197688693,0.7194306359519194,1.3296759280086394,1.0818885223264172,0.38249071416491087,0.37887769938325194
0.1,random,89,1201.2672249005632,1204.0360059305515,1.1420333535041054,1.1408109657316698,0.96875,0.9680059523809523,0.8313013093717123,0.697169981171369,1.4594887634728793,1.2977062538730075,0.3956763532776458,0.3922159832593405
0.1,worst,89,1353.1232348676897,1355.715719905545,1.286401421422437,1.284525838151936,0.9665178571428571,0.9657738095238095,0.957552431629696,0.7362200196115187,1.6112990913764746,1.470138845877019,0.39010129243464986,0.39011672576192485
0.2,random,89,1362.6763858262702,1365.3284354359628,1.2954835114017602,1.2936337811316678,0.7738095238095238,0.7819940476190477,0.9566050889680453,0.6667695559371692,1.6536002631339297,1.5058181590419635,0.424872852508383,0.42636405782715575
0.2,worst,89,1656.0522663610866,1658.7432239823538,1.5743931775771027,1.5716410887477403,0.6436011904761905,0.7165178571428571,1.205277344943779,0.7590935422670252,1.8478234167350622,1.7120636685245518,0.3919010372541449,0.3924771345686772
0.3,random,89,1530.1158373641238,1532.308340233585,1.4546666093710665,1.4518454172552353,0.59375,0.59375,1.0901091105036795,0.6545094651248766,1.738435431255295,1.6425053730865677,0.48332359553593357,0.48373051558995545
0.3,worst,89,1961.2709643035544,1963.6904537956245,1.8645616979013349,1.8605752585125446,0.32068452380952384,0.32514880952380953,1.4550750687849867,0.7905010156433041,2.0368256923903054,1.923287567815821,0.38597194727471,0.3915648593798294
0.4,random,89,1685.4303017782802,1688.3004985244797,1.6023225971195674,1.5996462835664274,0.4575892857142857,0.4635416666666667,1.2126039422086345,0.6429144270001853,1.7395085879162564,1.6075060847145755,0.5373172515405009,0.5350636201723367
0.4,worst,89,2268.649956219975,2270.822090020658,2.1567839892104805,2.1515791294954845,0.09672619047619048,0.09151785714285714,1.7089810760637003,0.8254159735730873,2.2086720259629287,2.119403286066901,0.3831801560132816,0.38543068052454416
0.5,random,89,1854.2375060874529,1856.1283597229492,1.7628060046718004,1.7586613491188356,0.41369047619047616,0.41443452380952384,1.3446390075911467,0.6179550932973167,1.936332806885635,1.836011018243348,0.596898243793922,0.6019572887686877
0.5,worst,89,2578.5415976341264,2580.1339380756235,2.451395032557967,2.4446487273760864,0.041666666666666664,0.03943452380952381,1.967788035591021,0.875017829894149,2.332119814945897,2.2671727748917774,0.37993174494549,0.38238399709403825
0.6,random,89,2023.02298676398,2024.8400181321194,1.9232687597725837,1.9185138028759856,0.3385416666666667,0.34151785714285715,1.4814091543658086,0.6252975055474339,1.9685341447076976,1.9006904019248991,0.6669733133070996,0.6707719369197537
0.6,worst,89,2890.6856819236773,2891.7522099770495,2.748147451976696,2.7399036366615857,0.04241071428571429,0.044642857142857144,2.226869035897853,0.9216445777996524,2.4291803583149076,2.3806497792555366,0.3744997664007047,0.37797734880996925
0.7,random,89,2239.4516457648233,2241.721292106059,2.129025432484261,2.124006441295967,0.2805059523809524,0.2849702380952381,1.6472364665621697,0.5925100549706311,2.0878804184856277,1.9857358763314392,0.7421431408789885,0.7406803714720664
0.7,worst,89,3204.228674596865,3205.3493819871373,3.046229800323388,3.037033532187471,0.04538690476190476,0.05133928571428571,2.487070000651549,0.9682888301286733,2.51022413836186,2.4708168169698164,0.3666499979746101,0.37185990631936966
0.8,random,89,2464.6995981166356,2466.872533299733,2.343166523710292,2.337334783336142,0.24032738095238096,0.24107142857142858,1.8360368147363797,0.6402855864922158,2.144357956218078,2.059830504896941,0.8405030640753827,0.8474591461765877
0.8,worst,89,3519.04385972168,3520.1823714075526,3.345521609963719,3.335334351212653,0.046875,0.04985119047619048,2.747478116132177,1.0175663852427488,2.577744287632663,2.539081715331107,0.3621331333799426,0.3657208356158828
0.9,random,89,2564.427295348441,2566.2795894879328,2.437976699286595,2.431521883399613,0.234375,0.23735119047619047,1.912769359091221,0.6287992439308036,2.0554094947424892,1.9521504600158281,0.9140494860363789,0.9191053707394408
0.9,worst,89,3834.5044963507635,3835.3202600536047,3.645427044225337,3.6339240589241673,0.05133928571428571,0.05282738095238095,3.0093905023211596,1.0669708977925463,2.6324186958670692,2.604548773512857,0.3622951572279899,0.36453738438675304
1.0,random,89,2798.934081343449,2800.7043240692838,2.660920075812595,2.6536367591440904,0.20461309523809523,0.21205357142857142,2.1118932653204103,0.682800426884983,2.0689663710425896,1.9934337755297125,1.015310285727421,1.0204017112280026
1.0,worst,89,4150.926897179899,4151.8220700848415,3.946246818587058,3.9338060672520667,0.05282738095238095,0.057291666666666664,3.2720263386737507,1.125163896556486,2.6842921938349686,2.6578736625770163,0.366490995690071,0.36866243664085324
0.0,random,173,1047.5703098992713,1050.7423992604513,1.0,1.0,1.0,1.0,0.7090922753835726,0.7128165482217522,1.2583759788691937,1.0668530716103461,0.389971274530973,0.3833757910845048
0.0,worst,173,1047.5703098992713,1050.7423992604513,1.0,1.0,1.0,1.0,0.7090922753835726,0.7128165482217522,1.2583759788691937,1.0668530716103461,0.389971274530973,0.3833757910845048
0.1,random,173,1205.5697240805257,1208.8130021805591,1.1508246393470685,1.1504370652896119,0.9590773809523809,0.9598214285714286,0.8324117737356705,0.6867512550070162,1.391281413834344,1.1919189891136583,0.39838221984931976,0.3919606659808669
0.1,worst,173,1346.1832469314477,1348.9988148953869,1.2850528830479069,1.2838530317657866,0.9665178571428571,0.9657738095238095,0.9508884034350549,0.7286539396896135,1.582430002294129,1.4123965082853969,0.39421411063420275,0.3955367136575304
0.2,random,173,1356.4710921547294,1359.4430368126289,1.294873555823819,1.2937928818418785,0.7686011904761905,0.7916666666666666,0.9503315293618823,0.6642435039324258,1.5579485568729252,1.3819118416983687,0.42817424028511536,0.4251698872569322
0.2,worst,173,1647.8995466098324,1650.4087904772487,1.5730682046232158,1.570707331919663,0.6391369047619048,0.7120535714285714,1.1968448407996586,0.7511722377117697,1.8356764774522962,1.6946438299904207,0.3940414926975191,0.39307430208609684
0.3,random,173,1506.0062511132348,1509.2631718073194,1.4376183029261724,1.4363779103894454,0.6056547619047619,0.6212797619047619,1.0649437153533943,0.6395379548315969,1.598678397161979,1.4331506373831069,0.48841538249269645,0.48785894760754983
0.3,worst,173,1951.8527598516903,1954.1151547721738,1.8632188612135925,1.8597471236980134,0.3236607142857143,0.3229166666666667,1.447165734653049,0.7835351133886806,2.042039386208791,1.929195894915741,0.3961914708647613,0.39712520244570015
0.4,random,173,1704.5434233927433,1706.6837844621436,1.6271398752763842,1.6242646967166896,0.47767857142857145,0.47619047619047616,1.225501771378917,0.6348652418797711,1.8208948171473212,1.693138163710734,0.5453092775443232,0.5465028285197158
0.4,worst,173,2258.6525359479683,2260.4947014704144,2.156086817852969,2.1513310046890926,0.08779761904761904,0.08556547619047619,1.7007699523122466,0.8223831337309138,2.2015155721765014,2.1169246972071667,0.3865564760274115,0.3909780098953624
0.5,random,173,1831.880952510378,1834.4868455778046,1.7486949899205542,1.7458958988130484,0.39955357142857145,0.40401785714285715,1.3203189538071856,0.5906338591876998,1.8652160685630965,1.723276283964043,0.6085565744661464,0.6148479059165692
0.5,worst,173,2567.282883896121,2568.478025421174,2.450702219828068,2.4444412134020266,0.04017857142857143,0.041666666666666664,1.956423269573571,0.8603553674054664,2.3184460147644916,2.2662291925777693,0.38099262126287364,0.38459317179334784
